57	240	128	57	48	1
57	256	128	57	48	1
57	272	128	57	48	1
57	272	96	57	48	1
57	288	96	57	48	1
57	304	96	57	48	1
57	352	128	57
57	368	128	57
57	400	128	57
57	416	128	57
57	432	128	57
57	448	128	57
57	464	128	57
57	464	96	57
57	480	96	57
57	496	96	57
57	512	96	57

57	512	64	57
57	528	64	57
57	544	64	57
57	560	64	57

57	512	144	57
57	528	144	57
57	544	144	57
57	560	144	57
57	576	144	57
57	592	144	57

57	2144	128	57
57	2160	128	57
57	2176	128	57

57	2176	64	57
57	2192	64	57
57	2208	64	57

57	1328	80	57
57	1344	80	57

57	1264	144	57
57	1280	144	57
57	1296	144	57
57	1312	144	57
57	1328	144	57
57	1344	144	57
57	1360	144	57


57	1296	112	57
57	1312	112	57
57	1328	112	57
57	1344	112	57
57	1360	112	57
57	1376	112	57
57	1392	112	57


57	1328	80	57
57	1344	80	57
57	1360	80	57
57	1376	80	57
57	1392	80	57
57	1408	80	57
57	1424	80	57
